Ind,Group
196388,North_A
196391,North_A
196392,North_A
196400,North_A
196402,North_A
196404,North_A
196405,North_A
196406,North_A
196413,North_A
196415,North_A
196416,North_A
196417,North_A
217862,North_A
217863,North_A
218380,North_A
218381,North_A
218382,North_A
218387,North_A
219027,North_A
219159,North_A
219537,North_A
219572,North_A
219598,North_A
219681,North_A
219688,North_A
219808,North_A
219810,North_A
219811,North_A
220634,North_A
220635,North_A
220636,North_A
223078,North_A
225109,North_A
225235,North_A